raw_name,source_field,status,type,count,examples,suggested_action
Arab Rebels,Winner,mapped_internal,rebel_group,12,Aleppo1918; Aqaba1917; Damascus1918; Dera1918; Hejaz1916,check_internal_mapping
Cuban Rebels,Winner,mapped_internal,rebel_group,12,"Cacarajicara1896; Jobito1895; La Plata, Cuba1957; Mal Tiempo1895; Manacal1895",check_internal_mapping
Russian Whites,Winner,mapped_internal,faction,11,Belaya Glina1918; Melitopol1920; Novocherkassk1918; Orenburg1917; Peregonovka1919,check_internal_mapping
Spanish Nationalists,Loser,mapped_internal,faction,10,Belchite1937; Cape Palos1938; Cape Palos1940; Corunna Road1936; Gijon1936,check_internal_mapping
Spanish Republicans,Winner,mapped_internal,faction,10,Belchite1937; Cape Palos1938; Cape Palos1940; Corunna Road1936; Gijon1936,check_internal_mapping
Cuban Rebels,Loser,mapped_internal,rebel_group,8,"Artemisa1896; Candelaria, Cuba1896; Cienfuegos1957; Coliseo1895; Dos Rios1895",check_internal_mapping
Taliban,Loser,mapped_internal,rebel_group,8,Kabul2001; Kandahar2001; Kunduz2001; Mazar-i-Sharif2001; Operation Anaconda2002,check_internal_mapping
White Russians,Loser,mapped_internal,faction,8,Chelyabinsk1919; Don Basin1919; Ekaterinburg1919; Ekaterinodar (1st)1918; Kiatkha1921,check_internal_mapping
Greek Communists,Loser,mapped_internal,faction,7,Deskarti1946; Florina1947; Florina1949; Konitsa1947; Metsovo1947,check_internal_mapping
Sudanese Mahdists,Loser,mapped_internal,faction,7,"Abu Hamed1897; Firket1896; Gemaizeh1888; Hafir, Sudan1896; Tokar1891",check_internal_mapping
Biafran Rebels,Loser,mapped_internal,rebel_group,6,Calabar1967; Enugu1967; Onitsha1967; Owerri1968; Port Harcourt1968,check_internal_mapping
Irish Republicans,Loser,mapped_internal,faction,6,Clashmealcon Caves1923; Clonmel1922; Cork1922; Four Courts1922; Kilmallock1922,check_internal_mapping
Mujahideen,Loser,mapped_internal,rebel_group,6,Ali Kheyl1984; Jalalabad1989; Khost1985; Panjshir Valley1984; Parrots Beak1985,check_internal_mapping
Northern Alliance,Winner,mapped_internal,faction,6,Kabul2001; Kandahar2001; Kunduz2001; Mazar-i-Sharif2001; Qala-i-Jangi2001,check_internal_mapping
Somali Islamists,Loser,mapped_internal,rebel_group,6,Ferdiddin1901; Galiabur1920; Illig1904; OK Pass1919; Samala1901,check_internal_mapping
Viet Minh,Winner,mapped_internal,faction,6,Cao-Bang1950; Dien Bien Phu1953; Dong-Khe1950; Hoa Binh1951; Muong-Khoua1953,check_internal_mapping
Viet Minh,Loser,mapped_internal,faction,6,Day River1951; Mao Khe1951; Nghia Lo1951; Red River Delta1950; Viet Bac1946,check_internal_mapping
Wu Beifu,Loser,mapped_internal,faction,6,Hesheng1926; Pingjiang1926; Tingsiqiao1926; Tingzu1926; Wuchang1926,check_internal_mapping
al Qaeda,Loser,mapped_internal,rebel_group,5,Mazar-i-Sharif2001; Operation Anaconda2002; Operation Mongoose2003; Qala-i-Jangi2001; Tora Bora2001,check_internal_mapping
Greek Government,Winner,mapped_internal,faction,5,Deskarti1946; Grammos1949; Karditsa1948; Konitsa1947; Metsovo1947,check_internal_mapping
Iraqi Rebels,Loser,mapped_internal,rebel_group,5,Jarbuiyah1920; Kufah1920; Rumaithah1920; Samawah1920; Tel Afar1920,check_internal_mapping
Moros,Loser,mapped_internal,rebel_group,5,Bacolod1903; Bayan1902; Bud Bagsak1913; Lake Seit1903; Malala1905,check_internal_mapping
Philippine Rebels,Winner,mapped_internal,rebel_group,5,Baler1896; Binakayan1896; Imus1896; Puray1897; Zapote Bridge1897,check_internal_mapping
Rashidis,Loser,mapped_internal,faction,5,Bukairiya1904; Dilam1902; Hail1921; Rawdhat al Muhanna1906; Riyadh1902,check_internal_mapping
Chadian Rebels,Loser,mapped_internal,rebel_group,4,Abeche1983; Iriba1990; N'Djamena1980; Oum Chalouba1983,check_internal_mapping
FLN,Loser,mapped_internal,rebel_group,4,Algiers1956-1957; Frontier1958; Kabylie1959; Souk-Ahras1958,check_internal_mapping
Greek Communist Rebels,Loser,mapped_internal,faction,4,Grammos1949; Karditsa1948; Karpenision1949; Kastoria1948,check_internal_mapping
Kuomintang,Loser,mapped_internal,faction,4,Beijing1949; Nanchang1913; Nanchang1928; Nanjing1911,check_internal_mapping
Mexican Rebels,Winner,mapped_internal,rebel_group,4,Ciudad Juarez1911; Columbus1916; Mexico City1913; Rellano (1st)1912,check_internal_mapping
Nama Tribe,Loser,mapped_internal,faction,4,Naris1904; Naukluf1894; Vaalgras1905; Van Rooisvlei1928,check_internal_mapping
Palestinians,Loser,mapped_internal,faction,4,Nazareth1948; Safad1948; Tel-el-Zataar1976; Tiberias1948,check_internal_mapping
Philippine Rebels,Loser,mapped_internal,rebel_group,4,Naic1897; San Isidro1896; Silang1897; Zapote Bridge1896,check_internal_mapping
Rashidis,Winner,mapped_internal,faction,4,Jirab1915; Kinzan1915; Mulaydah1891; Riyadh1887,check_internal_mapping
Zulu Rebels,Loser,mapped_internal,rebel_group,4,Bobe1906; Hlophekhulu1888; Mome1906; Mpukonyoni1906,check_internal_mapping
Boxers,Loser,mapped_internal,rebel_group,3,Beijing1900; Tianjin (1st)1900; Tianjin (2nd)1900,check_internal_mapping
Chadian Government,Winner,mapped_internal,faction,3,Ati1978; Iriba1990; N'Djamena1980,check_internal_mapping
Chilean Presidentialists,Loser,mapped_internal,faction,3,Concon1891; Placilla1891; Pozo Almonte1891,check_internal_mapping
Constitutionalists,Winner,mapped_internal,faction,3,"Agua Prieta1915; Celaya1915; Trinidad, Mexico1915",check_internal_mapping
Druze Rebels,Loser,mapped_internal,rebel_group,3,Damascus1925; Damascus1926; Rashaya1925,check_internal_mapping
Finnish Whites,Winner,mapped_internal,faction,3,Tampere1918; Vilppula1918; Vyborg1918,check_internal_mapping
Greek Communist Rebels,Winner,mapped_internal,faction,3,"Athens, Greece1944; Grevena1947; Litokhoro1946",check_internal_mapping
Hashemites,Loser,mapped_internal,faction,3,"Medina, Saudi Arabia1925; Taif1924; Turabah1919",check_internal_mapping
Indonesian Rebels,Loser,mapped_internal,rebel_group,3,Jogjakarta1948; Marga1946; Surabaya1945,check_internal_mapping
Matabeleland,Loser,unmapped,unknown,3,Bembesi1893; Empadine1893; Shangani1893,add_actor_normalization
Mexican Government,Loser,mapped_internal,faction,3,Ciudad Juarez1911; Cuautla1911; Mexico City1913,check_internal_mapping
Palestinian Arabs,Loser,mapped_internal,faction,3,Haifa1948; Kastel1948; Lydda-Ramleh1948,check_internal_mapping
Russian Bolsheviks,Loser,unmapped,unknown,3,Alexandrovsk1919; Rautu1918; Vyborg1918,add_actor_normalization
Tidikelt Tribes,Loser,unmapped,unknown,3,Ingosten1899; In Rhar1900; In Salah1900,add_actor_normalization
Viet Cong,Winner,mapped_internal,rebel_group,3,Ap Bac1963; Bien Hoa1964; Pleiku1965,check_internal_mapping
Abyssinia,Loser,unmapped,unknown,2,Debra Sina1887; Gallabat1889,add_actor_normalization
Afghan Communists,Winner,unmapped,unknown,2,Panjshir Valley1984; Parrots Beak1985,add_actor_normalization
Anti-Treaty IRA,Loser,unmapped,unknown,2,Tipperary1922; Waterford1922,add_actor_normalization
Arab Rebels,Loser,mapped_internal,rebel_group,2,Es Salt (2nd)1918; Pangani1889,check_internal_mapping
Arabs,Loser,unmapped,unknown,2,Jaffa1949; Two Palms1912,add_actor_normalization
Bali,Loser,unmapped,unknown,2,Denpasar1906; Mataram1894,add_actor_normalization
Biafran Rebels,Winner,mapped_internal,rebel_group,2,Abagana1968; Benin1967,check_internal_mapping
Blancos,Loser,unmapped,unknown,2,Masoller1904; Tupambae1904,add_actor_normalization
Brazil,Winner,unmapped,unknown,2,Canudos1897; Gothic Line1944,add_actor_normalization
Brunei Rebels,Loser,unmapped,unknown,2,Brunei1962; Seria1962,add_actor_normalization
Chadian Rebels,Winner,mapped_internal,rebel_group,2,N'Djamena1979; Ouaddai1990,check_internal_mapping
Chari,Loser,unmapped,unknown,2,Kouno1899; Kousseri1900,add_actor_normalization
Chechen Rebels,Loser,unmapped,unknown,2,Grozny1995; Grozny2000,add_actor_normalization
Chilean Congressists,Winner,unmapped,unknown,2,Concon1891; Pozo Almonte1891,add_actor_normalization
Chitral,Loser,unmapped,unknown,2,Chitral1895; Malakand1895,add_actor_normalization
Colombia,Winner,unmapped,unknown,2,Gueppi1933; Palonegro1900,add_actor_normalization
Colombia,Loser,unmapped,unknown,2,Old Baldy1953; Peralonso1899,add_actor_normalization
Colorados,Winner,unmapped,unknown,2,Masoller1904; Tupambae1904,add_actor_normalization
Constitutionalist Rebels,Loser,mapped_internal,rebel_group,2,Chihuahua1913; Satillo1913,check_internal_mapping
Conventionists,Loser,unmapped,unknown,2,"Agua Prieta1915; Trinidad, Mexico1915",add_actor_normalization
Costa Rican Conservatives,Winner,unmapped,unknown,2,Ochomogo1948; Santa Rosa de Copan1955,add_actor_normalization
Cuban Government,Winner,unmapped,unknown,2,Cienfuegos1957; Moncada1953,add_actor_normalization
Czechoslovak Legion,Winner,unmapped,unknown,2,Chelyabinsk1918; Ekaterinburg1918,add_actor_normalization
Druze Rebels,Winner,mapped_internal,rebel_group,2,Kafr1925; Mazraa1925,check_internal_mapping
El Salvador,Loser,unmapped,unknown,2,El Jicaro1906; Namasigue1907,add_actor_normalization
Eritrean Rebels,Winner,unmapped,unknown,2,Assab1991; Massawa1990,add_actor_normalization
Feng Yuxiang,Winner,unmapped,unknown,2,Luoyang1927; Tianjin1925,add_actor_normalization
Filippino Rebels,Loser,unmapped,unknown,2,Dasmarinas1897; San Jacinto1899,add_actor_normalization
Greek Government,Loser,mapped_internal,faction,2,Grevena1947; Naoussa1946,check_internal_mapping
Guinean Rebels,Winner,unmapped,unknown,2,Como1964; Guiledge1973,add_actor_normalization
